name,id,category,categoryDisplay,link,pointType,locationType,locations,latitude,longitude,mappable,address,description,notes
Chef Collaborative,prj32,Network,Network,http://www.chefscollaborative.org/hello/,N/A,,,,,N,,,
COMFOOD listserv,prj33,Network,Network,https://elist.tufts.edu/wws/subscribe/comfood,N/A,,,,,N,,,
Sea 2 Table,prj49,Network,Network,http://www.sea2table.com/,N/A,,,,,N,,,
Bjorn Corn,prj37,Products,Products,http://bjornqorn.com/,N/A,,,,,N,,,
Botanical Colors,prj43,Products,Products,http://botanicalcolors.com/,point,,,,,N,,,
"Guerrilla Cartography - an atlas of maps focused on different topics of relevance, including food",prj38,Projects,Projects,http://www.guerrillacartography.org/,,,,,,N?,,,
Swale,prj39,Projects,Projects,http://www.swaleny.org/,point,Site,,40.689577,-74.023066,Y,,,Mary Mattingly
Tree of 40 Fruit - Sam Van Aken,prj40,Projects,Projects,http://www.treeof40fruit.com/,points,Tree Locations,"[{""lat"": 41.2090834, ""lon"": -73.5822305}, {""lat"": 36.374084, ""lon"": -94.2099854}, {""lat"": 43.0391573, ""lon"": -76.1373045}, {""lat"": 42.325431, ""lon"": -71.2486973}, {""lat"": 40.7381657, ""lon"": -74.350146}, {""lat"": 38.1889917, ""lon"": -85.8168537}, {""lat"": 40.1037741, ""lon"": -75.4470717}, {""lat"": 41.2120214, ""lon"": -73.577188}, {""lat"": 44.5650678, ""lon"": -69.6628943}, {""lat"": 38.1889917, ""lon"": -85.8168537}, {""lat"": 44.8944168, ""lon"": -86.0024328}, {""lat"": 44.4560089, ""lon"": -68.4648353}]",,,Y,,,
Billion Oyster,prj41,Projects,Projects,http://www.billionoysterproject.org/,point,Site,,40.6908199,-74.0226807,Y,"550 Short Ave, Brooklyn, NY 11231",,
Ellie Iron's weed gardens,prj63,Projects,Projects,http://ellieirons.com/projects/sanctuary/,point,Gallery,,40.68755,-73.9625787,Y,,,
The Cloud Machine,prj64,Projects,Projects,http://www.amateurhuman.org/cloud-machine,point,N/A,,,,N?,,,
Urban Design Lab,prj34,Research & Policy,Research & Policy,http://urbandesignlab.columbia.edu/,point,HQ,,40.8107887,-73.965878,Y,,,
CUNY Food Policy Center,prj36,Research & Policy,Research & Policy,http://www.nycfoodpolicy.org/,point,HQ,,40.7999544,-73.9414886,Y,"2180 Third Avenue Ste 525 New York, NY 10035",,
Food Lab,prj46,Research & Policy,Research & Policy,https://drive.google.com/file/d/0B0W8gX6Kw188LWFONlBac1F1UEU/view?pli=1,point,HQ,,-33.9222082,18.4198153,Y,"5th Floor Exchange Building, 28 St George’s Mall, Cape Town",,
CUNY Urban Food Policy Institute,prj65,Research & Policy,Research & Policy,cunyurbanfoodpolicy.org,point,HQ,,40.8074973,-73.9463391,Y,"55 WEST 125TH STREET, NEW YORK, NY, 10027","Academic research and action center at the CUNY Graduate School of Public Health and Health Policy located in Harlem, NYC. We provide evidence to inform municipal policies that promote equitable access to healthy, affordable food. We apply an intersectoral perspective that links nutrition and health to sustainable community and workforce development, and we engage partners from city government, community organizations, and the university in food policy research and action.",
Sage,prj50,Service,Service,https://sageproject.com/,point,HQ,,,,N,,,
