name,id,connections,category,keywords,categoryDisplay,link,pointType,locationType,locations,latitude,longitude,mappable,address,description,shortDesc,notes,benefits
LaPera Bros. Poultry,prj14,prj15,Products,,Products,http://www.laperapoultry.com/,point,Store,,40.6273369,-73.9994286,Y,"1373 61st St, Brooklyn, NY 11219",Poultry Shop,Poultry Shop,,
Lighthouse Restaurant,prj15,"prj7,prj5,prj10,prj14,prj40,prj60,prj68,prj89,prj90,prj91,prj92,prj93,prj94,prj95,prj96,prj97,prj98",Restaurants,,Restaurants,http://lighthousebk.com/,point,Restaurant,,40.710818,-73.953722,Y,"145 Borinquen Pl, Brooklyn, NY 11211","Lighthouse makes you feel at home.
It embodies community, honesty, and warmth. 
Our menu is seasonal, the food is ingredient driven, clean, fresh and delicious.
Produce is locally sourced from farmers and growers we love. 
We have a great selection of organic, biodynamic and natural wines, craft beers, classic & original cocktails. 
We recycle, compost, and collaborate with other green minded organizations to grow, improve and educate ourselves, our staff, our guests. ","Lighthouse makes you feel at home. It embodies community, honesty, and warmth. Our menu is seasonal, the food is ingredient driven, clean, fresh and delicious.",,"Recycle 1lb of oyster shells, Restore 100 oysters, Support grass-fed and pasture raised meat, Divert 1lb of food waste, Support sustainable fisheries"
J&D Farms,prj16,prj7,Farms,"farm, 100% grass-fed beef, goat, pork",Farms,,point,Farm,,42.7889929,-75.7117417,Y,"4337 Lebanon Rd
Eaton, NY 13334","J & D Farms began their pastured hog operation for the purposes of becoming a member of The Piggery Farm family! They currently run a herd of about 600 Yorkshire-cross pigs on 30 acres of pasture. We are excited to be working and growing alongside such hard-working farmers. Mark Justh, the owner, frequently sends us picture updates of their pastured piggies.",J & D Farms began their pastured hog operation for the purposes of becoming a member of The Piggery Farm family! ,,
Elysian Fields,prj17,prj7,Farms,"farm, lamb",Farms,https://purebredlamb.com/,point,Farm,,39.9896067,-80.1711962,Y,"211 Craynes Run Rd, Waynesburg, PA 15370","Pure Bred has created a model for raising lamb founded on a respect for nature and the nature of the lamb itself. Mr. Martin and Chef Keller believe that lamb raised according to its nature results in better lamb, and hope that those who buy Pure Bred, likewise share in and encourage these convictions about how livestock is raised in America. Their patented system, Safe Alternative®, is reflected in their philosophy of the “Holistic Lamb®,”  which demands observation of the animals, data collection regarding their feeding and their growth, and a verification of their source once they reach the consumer. It allows the consumer to be connected with the farmer and united in this philosophy of care and respect for the animals they raise.",Pure Bred has created a model for raising lamb founded on a respect for nature and the nature of the lamb itself.,,
Hidden Camp Farms,prj18,prj7,Farms,"farm, turkey",Farms,https://hiddencampfarm.wordpress.com/,point,Farm,,42.8565229,-74.622965,Y,"378 White Rd, Canajoharie, NY 13317","Founded in the spring of 2009, the farm derives its name from the 1930’s original camp-site fireplace & chimney discovered in the woods.  The Kings run a full-scale organic dairy with a small herd of happy Jersey cows.  They are licensed to sell raw milk directly from the farm, and it’s their milk that goes into neighboring Maple Hill Creamery’s delicious, full-fat, cream-on-top, European style yogurt","Hidden Camp Farm, owned and operated by the King Family, sits on 140 acres of lush rolling farmland in quiet upstate New York",,
Finger Lakes Farms,prj19,prj7,Farms,"farm, chicken, duck, eggs",Farms,http://ilovenyfarms.com/,point,Farm,,42.6188412,-76.7317096,Y,"Interlaken, NY 14847",FingerLakes Farms is a business we formed to provide locally produced food to consumers at a price that guarantees the farmer and producers a wage to continue farming and supporting their own families. We believe this business model provides that consumers can get to know more about the way their food is produced and feel comfortable in their food purchasing decisions.,"FingerLakes Farms, LLC is an Ithaca, NY based company focused on bringing you and your family great tasting, healthy, locally-produced food.",,
Garret Farm,prj20,prj7,Farms,"farm, pastured beef",Farms,http://www.garretfarm.com/,point,Farm,,42.1833888,-73.522611,Y,"289 Hunt Road, Hillsdale, NY","Garret Farms was established in 1976 as a crop farm, consisting of about 135 acres. In 1988, the first full time manager, John Tomlin, was hired and a group of commercial Hereford cows was purchased. Through time, more land was purchased and the commercial herd grew. In 1997, a landmark year, the first purebred Angus came to Garret Farms and a new breeding program was initiated.

At the present time, the herd consists of about 300 brood cows, half commercial and the other half purebred Angus. The commercial cattle are marketed locally, consisting of mainly black-baldies. The purebred Angus herd has a significant embryo transfer program, consisting of about 14 donors—including: the dam of Traveler 004, the dam of RES Exceed and Volunteer, the dam of On Target, the dam of Neutron 377, the dam of Vermilion Payweight, the dam of BAR EXT Traveler 205, BR Midland’s full sister, an Expectation out of GAR Precision 2536, and the list goes on. Artificial Insemination is used extensively in the herd, as well as some natural cover through some of the Garret Farms’ herd sires, such as Garret’s Day Ahead 007, a maternal brother to the popular Traveler 004 sire.","Garret Farms was established in 1976 as a crop farm, consisting of about 135 acres. At the present time, the herd consists of about 300 brood cows, half commercial and the other half purebred Angus.",,
Chaljeri Farm,prj21,prj7,Farms,"farm, 100% grass-fed beef, pastured beef",Farms,http://chaljeri-meats.myshopify.com/,point,Farm,,41.7678678,-75.061677,Y,"123 Main St
Fremont, New York 12736","Ali and Rich are the new farmers of the bunch. After buying a home in Callicoon NY in 2005 they started with a small vegetable garden which led to bee keeping which led to a large greenhouse and small orchard and finally has landed them in the Grass Fed Beef business. Their desire to know where and how their food is produced has been an underlying and driving theme.

","Ali and Rich are the new farmers of the bunch. After buying a home in Callicoon NY in 2005 they started with a small vegetable garden which led to bee keeping which led to a large greenhouse and small orchard and finally has landed them in the Grass Fed Beef business. Their desire to know where and how their food is produced has been an underlying and driving theme.

",,
Oak Stone Farm,prj22,prj7,Farms,"farm, 100% grass-fed beef, pastured beef",Farms,http://adkgrazers.com/oak-stone/,point,Farm,,42.724072,-75.0037107,Y,"6424 State Highway 28
Fly Creek, NY 13337","Phil Hodgins fell in love with farming.  Since then he has been working improving his farm to raise top quality beef and hay.  Oak Stone Farm is located near Cooperstown, New York and is home to Phil and his family.","Phil Hodgins fell in love with farming.  Since then he has been working improving his farm to raise top quality beef and hay.  Oak Stone Farm is located near Cooperstown, New York and is home to Phil and his family.",,
Slope Farms,prj23,prj7,Farms,"farm, 100% grass-fed beef",Farms,http://www.slopefarms.com/,point,Farm,,42.421473,-74.889019,Y,"Meredith, NY 13757","We raise grass fed beef on the hilly pastures of our farm in the Western Catskills. The farm is on the high ridge that divides the waters flowing into the Delaware and Susquehanna Rivers.

This land grows a complex mix of lush grasses. The summers are cool and damp and the winters cold. The rocky soil is not suited for row crops, but it’s perfect for grazing healthy and happy cattle.

Our cattle eat what nature designed them to eat, nothing else: the grasses that grow naturally on these hills. In the warm weather they graze. In the winter they eat stored grasses from our own and surrounding farms, and still graze when the snow cover permits. We use no chemicals on the pastures and the animals are free of antibiotics.

The beef taste like beef should when grown in the mountains. It taste the way beef tasted forever, when people were willing to wait till cattle got fat on pasture—-before feedlots, before fossil fuels and corn, before antibiotics in the feed, before transport across the country. The connection between humans and cattle is so long, and so strong, that when you taste our grass feed beef it will likely trigger a memory of how good beef is supposed to taste.",We raise grass fed beef on the hilly pastures of our farm in the Western Catskills. The farm is on the high ridge that divides the waters flowing into the Delaware and Susquehanna Rivers.,,
Green Bronx Machine,prj24,,Education,,Education,http://greenbronxmachine.org/,points,Operating Locations,"[{""lat"":40.8156604,""lon"":-73.8874339}, {""lat"":40.8166803,""lon"":-73.8926417}, {""lat"":40.8360854,""lon"":-73.906974}, {""lat"":40.8505989,""lon"":-73.8791869}]",40.8156604,-73.8874339,Y,"3935 BLACKSTONE AVENUE, BRONX, NY 10471","Green Bronx Machine builds healthy, equitable, and resilient communities through inspired education, local food systems, and 21st Century workforce development. Dedicated to cultivating minds and harvesting hope, our school-based model using urban agriculture aligned to key school performance indicators grows healthy students and healthy schools to transform communities that are fragmented and marginalized into neighborhoods that are inclusive and thriving. We believe that healthy students help drive healthy schools, and that healthy schools are at the heart of healthy communities. We envision growing healthy communities where those who are “apart from” will become “part of” new solutions that benefit 100% of society; a world where people do not have to leave their community to live, learn and earn in a better one. Together, we can grow something greater! Ready, set, GROW!","Green Bronx Machine builds healthy, equitable, and resilient communities through inspired education, local food systems, and 21st Century workforce development.",,
Neighbors Allied for Good Growth (NAG),prj25,,Community Activism,waste,Community Activism,http://nag-brooklyn.org/,point,HQ,,40.7209292,-73.9637192,Y,"110 Kent Ave, Brooklyn, NY 11249","Neighbors Allied for Good Growth (formerly Neighbors Against Garbage) developed out of our neighborhood’s desire to recapture its waterfront, reduce local environmental hazards, and advocate for public policies promoting healthy mixed-use communities. We advocate with and for the people who live and work in the North Brooklyn neighborhoods of Greenpoint and Williamsburg. Our approach to these issues is guided by the principle that our entire community is entitled to participate in decision-making and negotiation processes affecting our neighborhood, leadership of local mobilization efforts, and the design of a future vision for our community.","Neighbors Allied for Good Growth (formerly Neighbors Against Garbage) developed out of our neighborhood’s desire to recapture its waterfront, reduce local environmental hazards, and advocate for public policies promoting healthy mixed-use communities. We advocate with and for the people who live and work in the North Brooklyn neighborhoods of Greenpoint and Williamsburg. Our approach to these issues is guided by the principle that our entire community is entitled to participate in decision-making and negotiation processes affecting our neighborhood, leadership of local mobilization efforts, and the design of a future vision for our community.",,
Outer Seed Shadow (OSS),prj26,,Community Activism,"immigration, cultural identity, acces to food, urban farm, public art, coomunity organizing, enviromental justice, social justice",Community Activism,http://outerseedshadow.org/,point,Public spaces,,40.875774,-73.9102835,Y,"5284 Broadway, Bronx, NY 10463","OSS#MH is an interactive public art project and community garden made in collaboration with residents of the Marble Hill Houses—a public housing development in the Bronx—that serves as a participatory platform to promote healthy living and community empowerment through explorations of residents’ shared histories and cultural heritage. After more than a year in development, following dozens of interviews with residents, regular meetings with the tenants association and community partners, and door-to-door outreach to each of the complex’s 1,682 apartments, in May 2017 OSS#MH opened 11 new garden beds, one reflecting each of the Marble Hill complex’s 11 towers, which serve as centerpieces for a series of public gardening and food education programming that will activate the site throughout 2017.","OSS#MH is an interactive public art project and community garden made in collaboration with residents of the Marble Hill Houses—a public housing development in the Bronx—that serves as a participatory platform to promote healthy living and community empowerment through explorations of residents’ shared histories and cultural heritage. After more than a year in development, following dozens of interviews with residents, regular meetings with the tenants association and community partners, and door-to-door outreach to each of the complex’s 1,682 apartments, in May 2017 OSS#MH opened 11 new garden beds, one reflecting each of the Marble Hill complex’s 11 towers, which serve as centerpieces for a series of public gardening and food education programming that will activate the site throughout 2017.",,
The Creative Kitchen,prj28,,Education,,Education,http://www.thecreativekitchen.com/,points,Operating Locations,"[{""lat"":40.7594993, ""lon"":-73.968301}, {""lat"":40.7237875, ""lon"":-73.9945774}, {""lat"":40.6570184, ""lon"":-73.9664357}, {""lat"":40.7417101, ""lon"":-73.9976813}]",40.7594993,-73.968301,Y,,"The Creative Kitchen teaches children about food and how to cook in a fun, safe, and educational manner. The multi-faceted company includes a variety of media outlets which promote the curriculum. Targeting children ages two and older, the company focuses on teaching, writing, producing creative content, and consulting to present educational content through food-related activities. The founder, Cricket Azima, inspires children to express themselves creatively through cooking and the arts. While writing her master’s thesis, entitled “Children’s Cooking Classes: An Alternative Method to Enhance Learning,” Cricket learned that children retain more educational content of a lesson when using all of their senses and, of course, when having fun in the meanwhile!","The Creative Kitchen teaches children about food and how to cook in a fun, safe, and educational manner.",,
Cloud Institute for Sustainability Education,prj29,,Education,,Education,http://cloudinstitute.org/,point,HQ,,40.7469286,-73.9952621,Y,,We prepare school systems and their communities to educate for a sustainable future by inspiring educators and engaging students through meaningful content and learner-centered instruction.,We prepare school systems and their communities to educate for a sustainable future by inspiring educators and engaging students through meaningful content and learner-centered instruction.,,
With Food in Mind,prj30,,Education,,Education,http://www.withfoodinmind.org/,point,HQ,,40.6574034,-73.9642796,Y,"231 Ocean Ave. #4J, Brooklyn, NY, 11225, US","With Food in Mind develops art-based approaches to food education and food injustice, with a focus on childhood obesity and nutrition disparities in low-income neighborhoods and communities of color. We're cultivating future generations of art enthusiasts and healthier eaters, too. Our programs inspire children and youth to look at art in new ways, make healthful food choices, and think across disciplines.","With Food in Mind develops art-based approaches to food education and food injustice, with a focus on childhood obesity and nutrition disparities in low-income neighborhoods and communities of color.",,
NERTM (New Earth Resistance Training Module),prj31,,Education,"resiliance, sustainability, back-to-earth, education, art",Education,http://www.tattfoo.com/new_earth/NewEarthRTM.html,point,Nomadic Program,,40.5773669,-74.1861616,Y,Freshkills Park,"New Earth Resiliency Training Module is a program that teaches an ethos of self reliance and of living closer to the earth, especially within an urban environment. Drawing upon its surrounding resources, it treats the city as a catalyst for building relations with various neighborhoods and communities. The program strengthens the resiliency of the neighborhood by activating young people and equipping them with skills, knowledge, and an adaptive world view. It also empowers youth by treating them as authorities of their own environment. Studying folk craft and tracing the genesis of ideas, objects and beliefs is an effort to re-wilding ourselves.","New Earth Resiliency Training Module is a program that teaches an ethos of self reliance and of living closer to the earth, especially within an urban environment. Drawing upon its surrounding resources, it treats the city as a catalyst for building relations with various neighborhoods and communities. The program strengthens the resiliency of the neighborhood by activating young people and equipping them with skills, knowledge, and an adaptive world view. It also empowers youth by treating them as authorities of their own environment. Studying folk craft and tracing the genesis of ideas, objects and beliefs is an effort to re-wilding ourselves.",,
Kids Food Festival,prj32,,Education,,Education,http://kidsfoodfestival.com/,point,Event Location,,40.7536005,-73.9854213,Y,,"The Kids Food Festival is a weekend event focusing on educating families about making balanced food choices through 
fun and flavorful activities.

The exciting and engaging programming of the Kids Food Festival helps to establish wholesome lifelong habits, while working to avert childhood obesity.",The Kids Food Festival is a weekend event focusing on educating families about making balanced food choices through fun and flavorful activities.,,
Stone Barns Center,prj33,,Education,,Education,https://www.stonebarnscenter.org/,point,Farm,,41.103059,-73.8312807,Y,"630 Bedford Road, Pocantico Hills, NY 10591","Stone Barns Center for Food and Agriculture is a nonprofit organization on a mission to create a healthy and sustainable food system.

We are working to develop a culture of eating based on what farms need to grow to build healthy soil and a resilient ecosystem. In our quest to transform the way America eats and farms, we convene change makers, train farmers, educate food citizens and develop agroecological farming practices. We:

Experiment with and improve sustainable farming practices.
Train beginning farmers in resilient, regenerative farming techniques.
Help children discover the sources of their food while preparing them to steward the land that provides it.
Increase public awareness of healthy, seasonal and sustainable food.

Our food system is on an unsustainable course: resource depletion, environmental degradation, epidemics of disease and obesity, food that doesn't represent the true costs of its production. We are working to change the way America eats and farms by inspiring people, engaging leaders and the public, developing practices in resilient agriculture and driving choices that benefit human health and the environment. Join us!",Stone Barns Center for Food and Agriculture is a nonprofit organization on a mission to create a healthy and sustainable food system.,,
Veggication,prj34,,Education,,Education,http://www.veggiecation.com/,point,HQ,,40.9803467,-74.1617939,Y,"P.O. Box 5121, Ridgewood, New Jersey 07451-5121","The mission of Veggiecation is to promote and educate communities on the health benefits of vegetables and how to prepare them in simple, unique, affordable, and most importantly, delicious ways.","The mission of Veggiecation is to promote and educate communities on the health benefits of vegetables and how to prepare them in simple, unique, affordable, and most importantly, delicious ways.",,
Natural Gourmet Institute,prj35,,Education,,Education,https://naturalgourmetinstitute.com/,point,HQ,,40.7410509,-73.9951062,Y,"48 W 21 STREET, 2ND FLOOR, NYC 10010 ","Natural Gourmet Institute provides exceptional, innovative and interdisciplinary health-supportive culinary education. Rooted in Dr. Annemarie Colbin’s seven criteria for food selection, our curriculum empowers chefs, individuals and communities to be leaders in the conversation about food and wellbeing through the preparation of healthful and delicious meals. By making mindful and deliberate decisions about the ingredients we source, we are able to advocate and utilize a sustainable food system that respects the earth’s natural resources and the people who make each meal possible.","Natural Gourmet Institute provides exceptional, innovative and interdisciplinary health-supportive culinary education.",,
Institute for Integrative Nutrition,prj37,,Education,,Education,http://www.integrativenutrition.com/,point,HQ,,40.7444091,-73.9893442,Y,"3 E. 28th Street New York, NY 10016 United States","Our mission is to play a crucial role in improving health and happiness, and through that process, create a ripple effect that transforms the world. The Institute for Integrative Nutrition (IIN) was founded in 1992 by Joshua Rosenthal. Once a small classroom of passionate students in New York City, it is now the largest nutrition school in the world. Through its innovative online learning platform, Integrative Nutrition has provided a global learning experience for ~100,000 students and graduates in over 100 countries worldwide.","Our mission is to play a crucial role in improving health and happiness, and through that process, create a ripple effect that transforms the world.",,
Food Book Fair,prj38,,Events,,Events,http://www.foodbookfair.com/,point,HQ,,40.7220318,-73.9602657,Y,,"Food Book Fair launched in 2012 as the first event of its kind: part festival, part conference, set at the intersection of food culture and food systems.

Dubbed the ""Coachella of writing about eating,"" ""a voracious reader's dream,"" and, simply, ""food geek heaven,"" our event remains ceaselessly inspired by food media — books, of course, but also print and online magazines, television, film and radio.

Our dynamic programs include panel discussions, a pop-up bookstore, #Foodieodicals, cooking demos, conceptual literary dinners, film screenings and much more. ","Food Book Fair launched in 2012 as the first event of its kind: part festival, part conference, set at the intersection of food culture and food systems.",,
Edgemere Farm,prj39,,Greenspaces,,Greenspaces,http://www.edgemerefarm.org/,point,HQ,,40.5953631,-73.7787277,Y,"385 Beach 45th Street, Far Rockaway, NY 11691","Edgemere Farm is a half-acre urban farm located in the beachside community of Far Rockaway, Queens. In 2013 its founders transformed an underutilized lot on Beach 45th Street into a lush and productive space, where a wide variety of fresh and organically grown vegetables, flowers and herbs are now cultivated. Bees, chickens and many varieties of pollinators use the farm as home base as well. 

The farm is a self-sustaining enterprise and acts as a zero-profit business. Profits are reinvested into the farm for future projects and operation costs.  In 2015 we co-founded the East Rockaway Growing Coalition, in order to further our mission of increasing capacity for the production of food on the peninsula.  To that end, we strive to be a place where we are teaching and learning about growing plants with neighbors and friends of all ages and backgrounds.","Edgemere Farm is a half-acre urban farm located in the beachside community of Far Rockaway, Queens.",,
Sure We Can,prj40,prj15,Waste/Recycling,,Waste/Recycling,http://www.surewecan.org/,point,Storefront,,40.7054817,-73.9404633,Y,"219 MCKIBBIN STREET, BROOKLYN, NY, 11206","Sure We Can is a non-profit recycling center, community space and sustainability hub in Brooklyn where canners, students and neighbors come together through recycling, composting, gardening, art and other initiatives. Our mission is to support the local community, particularly the most vulnerable residents, and promote social inclusion, environmental awareness and economic empowerment.

For over 9 years, Sure We Can has supported canners, who are people that make a living collecting cans and bottles from the streets and redeeming them for 5 cents each. Today, it has evolved into a community center that promotes a sustainable urban culture and facilitates a circular economy.","Sure We Can is a non-profit recycling center, community space and sustainability hub in Brooklyn where canners, students and neighbors come together through recycling, composting, gardening, art and other initiatives.",,
Farm Sanctuary,prj41,,Greenspaces,,Greenspaces,http://www.farmsanctuary.org/the-sanctuaries/watkins-glen-ny/,point,Farm,,42.385264,-77.0297139,Y,"3150 Aikens Rd, Watkins Glen, NY 14891","Farm Sanctuary was founded in 1986 to combat the abuses of factory farming and encourage a new awareness and understanding about farm animals. Today, Farm Sanctuary is the nation’s largest and most effective farm animal rescue and protection organization. We have rescued thousands of animals and cared for them at our sanctuaries in Watkins Glen, New York; Northern California (Orland); and the Los Angeles area. At Farm Sanctuary, these animals are our friends, not our food. We educate millions of people about their plight and the effects of factory farming on our health and environment. We advocate for laws and policies to prevent suffering and promote compassion, and we reach out to legislators and businesses to bring about institutional reforms.

Farm Sanctuary is committed to ending cruelty to farm animals and promoting compassionate vegan living through rescue, education, and advocacy efforts. Please join us. A compassionate world begins with you!",Farm Sanctuary was founded in 1986 to combat the abuses of factory farming and encourage a new awareness and understanding about farm animals.,,
Brooklyn Grange,prj42,,Greenspaces,,Greenspaces,http://www.brooklyngrangefarm.com/,point,Farm,,40.7034597,-73.9739683,Y,"BROOKLYN GRANGE, 63 FLUSHING AVE BOX 116, BROOKLYN NY","Brooklyn Grange is the leading rooftop farming and intensive green roofing business in the US. We operate the world’s largest rooftop soil farms, located on two roofs in New York City, and grow over 50,000 lbs of organically-cultivated produce per year. In addition to growing and distributing fresh local vegetables and herbs, Brooklyn Grange also hosts events and educational programming, provides urban farming and green roof consulting and installation services to clients worldwide, and partners with numerous non-profit organizations throughout New York to promote healthy and strong local communities.",Brooklyn Grange is the leading rooftop farming and intensive green roofing business in the US.,,
Local Harvest,prj46,,Guides,,Guides,http://www.localharvest.org/new-york-ny,point,HQ,,37.06,-122.162194,Y,,"LocalHarvest connects people looking for good food with the farmers who produce it.
Buying local is about enjoying real food, grown yourself or purchased from people you trust. It's about developing strong local economies and producing food on a human scale. It's about eating seasonally, practicing the art of cooking, and sitting down to enjoy meals together. It requires ample local and regional producers, processors, and distributors. As we see it, the goal of the local food movement is to create thriving community-based food systems that will make high quality local food available to everyone.

To that end, LocalHarvest makes millions of introductions a year. Hear what some of our members have to say about us.

We make it easy to find good food.",LocalHarvest connects people looking for good food with the farmers who produce it.,,
Public Lab,prj47,,Citizen Science,,Citizen Science,https://publiclab.org/,point,,,42.3621721,-71.08714,Y,"Public Laboratory P.O. Box 426113 Cambridge, MA 02142","Public Lab is a community where you can learn how to investigate environmental concerns. Using inexpensive DIY techniques, we seek to change how people see the world in environmental, social, and political terms.","Public Lab is a community where you can learn how to investigate environmental concerns. Using inexpensive DIY techniques, we seek to change how people see the world in environmental, social, and political terms.",,
Food Stand,prj48,,Guides,,Guides,https://www.thefoodstand.com/,point,HQ,,40.7387343,-73.9933067,Y,"115 Fifth Avenue, 6th Floor, New York, NY 10003","We have a vision: it’s of a world where good food is the default—not the exception. 

That’s why we set out on our mission — to build a more informed community around good food. 

That’s why we’re here: to connect a community of good eaters. Together, we can spread our knowledge about good eating and make the information more accessible to all. It starts by empowering the community to ask what’s on our plates. When we do that, we are all able to make healthier food choices—not only for ourselves, but for others. 

When we do this, in unison, that’s when we’ve made a food stand. ",We have a vision: it’s of a world where good food is the default—not the exception.,,
